,freq_center,freq_center_err,E,D,detect_red_first,data_indices,start_time,end_time
0,139290.97321010422,24.89910964161622,True,False,True,"[861853, 861854, 861855, 861856]",1720498874.6691077,1720498882.378923
1,139328.96204286258,22.751771304200965,True,True,True,"[861853, 861854, 861855, 861856]",1720498874.6691077,1720498882.378923
2,139517.65111770268,16.056415741518133,False,True,True,"[861857, 861858, 861859, 861860]",1720498882.3841975,1720498890.051069
3,139549.49316505992,15.61454340398562,False,False,True,"[861857, 861858, 861859, 861860]",1720498882.3841975,1720498890.051069
4,139510.15547174736,16.27265239830383,True,False,True,"[861861, 861862, 861863, 861864]",1720498890.0563889,1720498897.768539
5,139518.50005915295,16.026909599861057,True,True,True,"[861861, 861862, 861863, 861864]",1720498890.0563889,1720498897.768539
6,139488.79734329187,16.803767196860314,False,True,True,"[861865, 861866, 861867, 861868]",1720498897.7735436,1720498905.438226
7,139464.08459947756,16.387462038994418,False,False,True,"[861865, 861866, 861867, 861868]",1720498897.7735436,1720498905.438226
8,139385.98068653315,16.09157556284091,True,False,True,"[861869, 861870, 861871, 861872]",1720498905.4790487,1720498913.190841
9,139423.45299584305,15.901567620793498,True,True,True,"[861869, 861870, 861871, 861872]",1720498905.4790487,1720498913.190841
10,139415.26347451095,18.77948599641384,False,True,True,"[861873, 861874, 861875, 861876]",1720498913.2309716,1720498920.945255
11,139428.38990785426,17.6768601163219,False,False,True,"[861873, 861874, 861875, 861876]",1720498913.2309716,1720498920.945255
12,139438.44786668778,18.846016147140205,True,False,True,"[861877, 861878, 861879, 861880]",1720498920.9505327,1720498928.717514
13,139426.9693821518,18.259441426976277,True,True,True,"[861877, 861878, 861879, 861880]",1720498920.9505327,1720498928.717514
14,139481.0333563524,19.741590469038847,False,True,True,"[861881, 861882, 861883, 861884]",1720498928.7225735,1720498936.447659
15,139452.9880032476,18.781814699777026,False,False,True,"[861881, 861882, 861883, 861884]",1720498928.7225735,1720498936.447659
16,139499.02293549388,17.388957171265996,True,False,True,"[861885, 861886, 861887, 861888]",1720498936.4840038,1720498944.194264
17,139516.56911228716,17.04290631998186,True,True,True,"[861885, 861886, 861887, 861888]",1720498936.4840038,1720498944.194264
18,139571.91540914276,14.610801139953459,False,True,True,"[861889, 861890, 861891, 861892]",1720498944.1994488,1720498951.889383
19,139588.61835403417,14.666536347321006,False,False,True,"[861889, 861890, 861891, 861892]",1720498944.1994488,1720498951.889383
20,139535.19318271513,13.579991065413145,True,False,True,"[861893, 861894, 861895, 861896]",1720498951.8945892,1720498959.530475
21,139553.28367240942,13.573309201419493,True,True,True,"[861893, 861894, 861895, 861896]",1720498951.8945892,1720498959.530475
22,139482.53679309343,18.336490707430105,False,True,True,"[861897, 861898, 861899, 861900]",1720498959.57259,1720498967.245654
23,139507.332454252,18.361124718337393,False,False,True,"[861897, 861898, 861899, 861900]",1720498959.57259,1720498967.245654
24,139465.55201345577,18.24680649928539,True,False,True,"[861901, 861902, 861903, 861904]",1720498967.2511675,1720498974.937955
25,139470.90847133705,17.581099965744976,True,True,True,"[861901, 861902, 861903, 861904]",1720498967.2511675,1720498974.937955
26,139591.8018728031,14.804996626950441,False,True,True,"[861905, 861906, 861907, 861908]",1720498974.9431274,1720498982.635587
27,139588.45267799334,14.689321172559854,False,False,True,"[861905, 861906, 861907, 861908]",1720498974.9431274,1720498982.635587
28,139483.05016194208,12.990972960862523,True,False,True,"[861909, 861910, 861911, 861912]",1720498982.6407406,1720498990.336497
29,139480.49516772814,13.086525403589725,True,True,True,"[861909, 861910, 861911, 861912]",1720498982.6407406,1720498990.336497
